[1] "Userchar,WindowSize,Slice,Model,Repeat,Accuracy_mean,Accuracy_sd,Kappa_mean,Kappa_sd,AccuracyHigh_mean,AccuracyHigh_sd,AccuracyLow_mean,AccuracyLow_sd"
[1] "BarChartLit,1000,3,rf,3,0.613333333333333,0.188692708580922,0.241105561105561,0.268998449579144,0.56,0.394029515720916,0.642857142857143,0.186718894539978"
[1] "BarChartLit,1000,3,regLogistic,3,0.536666666666667,0.279527820563778,0.127019647019647,0.4965914552952,0.6,0.276217842103468,0.464285714285714,0.363566568922107"
[1] "BarChartLit,1000,3,xgbTree,3,0.54,0.245854518861144,0.118065268065268,0.368277496223592,0.44,0.321570221580617,0.607142857142857,0.235301064767835"
[1] "BarChartLit,1000,3,svmLinear,3,0.493333333333333,0.169093443375527,0.0513320013320013,0.314305728186916,0.52,0.275412149063639,0.464285714285714,0.310590348084913"
[1] "BarChartLit,1000,3,MajorityClass,4,0.528301886792453,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,3,rf,4,0.703333333333333,0.18355205807806,0.347534132534132,0.446255369054168,0.64,0.311031735906066,0.75,0.243975018237133"
[1] "BarChartLit,1000,3,regLogistic,4,0.626666666666667,0.245351851152987,0.245504495504495,0.48463577215271,0.68,0.30598959072104,0.607142857142857,0.350466701044756"
[1] "BarChartLit,1000,3,xgbTree,4,0.603333333333333,0.161359961071627,0.148443223443223,0.390119713334171,0.56,0.309838667696593,0.642857142857143,0.28834765277119"
[1] "BarChartLit,1000,3,svmLinear,4,0.666666666666667,0.174977952755818,0.383464868464868,0.279074177614873,0.72,0.362501596420495,0.607142857142857,0.24494125971446"
[1] "BarChartLit,1000,3,MajorityClass,5,0.528301886792453,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,3,rf,5,0.64,0.101592261783666,0.275347985347985,0.228904681375447,0.56,0.242822904527071,0.714285714285714,0.219512963268878"
[1] "BarChartLit,1000,3,regLogistic,5,0.516666666666667,0.209201893152919,0.00721925133689833,0.437343422072799,0.48,0.398515764825954,0.571428571428571,0.289165661940265"
[1] "BarChartLit,1000,3,xgbTree,5,0.53,0.184892361078507,0.115038099155746,0.341631936672232,0.48,0.291102629223339,0.571428571428571,0.289165661940265"
[1] "BarChartLit,1000,3,svmLinear,5,0.606666666666667,0.241803920155297,0.236170496170496,0.438973932029921,0.6,0.399072999912622,0.607142857142857,0.200387002745279"
[1] "BarChartLit,1000,3,MajorityClass,6,0.528301886792453,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,3,rf,6,0.66,0.238720871146592,0.355767565767566,0.425116790750767,0.64,0.31458379322998,0.678571428571428,0.275602308867435"
[1] "BarChartLit,1000,3,regLogistic,6,0.49,0.241420692189555,0.0678887778887779,0.432503730575712,0.44,0.366767662858271,0.535714285714286,0.193402008093747"
[1] "BarChartLit,1000,3,xgbTree,6,0.503333333333333,0.23011001126407,0.0613952713952714,0.377554084860663,0.36,0.307438641875934,0.642857142857143,0.17874991080346"
[1] "BarChartLit,1000,3,svmLinear,6,0.583333333333333,0.173738841901243,0.087995337995338,0.337788195064955,0.56,0.33065591380366,0.607142857142857,0.278365308359284"
[1] "BarChartLit,1000,3,MajorityClass,7,0.528301886792453,0,0,0,0,0,0,0"
